id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown Heights,Verbal Gold,hip-hop,confident,0.80,95,0.72,0.85,0.12
12,Morning Sonata,Elara Strings,classical,peaceful,0.22,58,0.76,0.28,0.97
13,Velvet Hours,Sable & Smoke,r&b,romantic,0.55,85,0.78,0.68,0.40
14,Dusty Back Roads,June Hollow,country,nostalgic,0.48,100,0.62,0.55,0.75
15,Pulse Protocol,Phase Array,edm,euphoric,0.96,140,0.85,0.94,0.03
16,Empty Porch,Willow Run,folk,melancholy,0.30,68,0.32,0.38,0.93
17,Iron Fault Line,Gravel Throne,metal,angry,0.97,168,0.24,0.52,0.06
18,Shoreline Sunday,Coral Tide,reggae,upbeat,0.62,82,0.88,0.76,0.48
19,Golden Static,Indigo Parade,pop,romantic,0.65,108,0.82,0.74,0.30
20,Sunday Soul,Velvet Roots,soul,happy,0.70,112,0.89,0.78,0.42
